nombre,personal,tipo
Konklab,897637,PUBLICA
Solarbreeze,186141,PRIVADA
Lotstring,720683,PRIVADA
Pannier,591708,PUBLICA
Voltsillam,924905,PUBLICA
Kanlam,512290,PRIVADA
Tampflex,748267,PRIVADA
Zoolab,204822,PRIVADA
Domainer,643140,PRIVADA
Flowdesk,870628,PUBLICA
Tresom,653960,PUBLICA
Job,942310,PUBLICA
Daltfresh,241221,PRIVADA
Rank,632063,PUBLICA
Viva,849351,PRIVADA
Zamit,107875,PRIVADA
Flowdesk,691694,PRIVADA
Y-find,814573,PUBLICA
Bamity,730802,PRIVADA
Aerified,856347,PRIVADA
Asoka,973283,PUBLICA
Bigtax,836534,PRIVADA
Bamity,692038,PRIVADA
Pannier,826199,PRIVADA
Domainer,696338,PRIVADA
Y-find,751250,PRIVADA
Lotstring,492920,PRIVADA
Bytecard,846812,PRIVADA
Stronghold,714891,PRIVADA
Tempsoft,28658,PRIVADA
Otcom,830269,PUBLICA
Zathin,681732,PUBLICA
Stringtough,258293,PUBLICA
Asoka,848864,PUBLICA
Gembucket,137329,PUBLICA
It,600964,PRIVADA
Tampflex,656988,PUBLICA
Voltsillam,141870,PUBLICA
Fix San,440469,PRIVADA
Lotlux,272004,PUBLICA
Konklab,248162,PRIVADA
Voltsillam,810746,PUBLICA
Zathin,30455,PRIVADA
Voltsillam,981601,PRIVADA
Cardguard,153032,PRIVADA
Fix San,291262,PUBLICA
Fintone,342897,PRIVADA
Tin,174581,PRIVADA
Zaam-Dox,257221,PRIVADA
Lotstring,27069,PUBLICA
